,指数代码,指数简称,样本数,收盘点位,涨跌幅,PE滚动,成交量,成交额,总市值,自由流通市值
320,980038,深圳高新,50,3829.8187,-0.0417,,12209.93156,411.9396931843,55428.9381211949,13409.560036365901
321,980039,深圳高新（港币）,50,3813.181,-0.0417,,12209.93156,509.46939308480006,68552.0221844215,16584.391298688402
322,980046,文化创意,100,1639.4403,-0.0298,,31811.14203,416.4201710797,45649.789547655404,9435.4114679617
323,980047,文化创意（港币）,100,1635.8005,-0.0298,,31811.14203,515.0105160623,56457.5472704996,11669.3205638903
324,980048,国证建材,30,7462.1286,-0.012,11.1286,5211.14673,90.091056164,9297.065728184301,3946.8405200855
325,980049,国证酒指,30,129050.9565,-0.0468,39.1614,3754.15684,325.0763802701,43993.562601094105,8655.9654129788
326,980052,绿色金融,50,1378.1823,-0.0237,,22924.08984,154.47192252780002,39835.2413315067,441.06604496010004
327,980053,绿色金融（港币）,50,1389.2065,-0.0237,,22924.08984,191.0439793724,49266.3799704731,545.4905559972
328,980055,规模因子,50,1561.0834,-0.0238,39.9521,10163.65404,379.75969441949997,30307.0792674512,280.78470925880004
329,980056,价值因子,50,2566.8681,-0.0342,22.1352,17205.24633,331.8189434997,37132.0045942477,1286.4813360401
330,980057,动量因子,50,1978.2047,-0.0179,30.5817,12623.16659,397.0459700692,32328.1225461592,584.2216720171
331,980058,绿色治理,100,1265.3757,-0.039,18.4784,43317.92284,899.3523351358,83745.5253502242,42425.6990121144
332,980068,蓝色100,100,2564.5868,-0.018,,14981.13215,131.9990924407,14524.5091985203,401.92465938379996
333,980069,蓝色100(港币),100,2558.8686,-0.018,,14981.13215,163.250752981,17963.2429495638,497.0830055562
334,983001,内地100,100,1755.6629,-0.0432,,46271.69223,1352.1360284558,187714.2750111057,72657.8757503753
335,983002,内地100(港币),100,1773.6365,-0.0432,,46271.69223,1672.2639676887,232156.71559610622,89860.0427752356
336,983003,内地科技50,50,2420.498,-0.048,,22095.39118,711.3236585958999,94666.19042206109,38733.0998018039
337,983004,内地科技50(港币),50,2445.2756,-0.048,,22095.39118,879.7331867386,117078.81278999301,47903.35505980981
338,983005,深港通综指,0,5302.1141,-0.0344,,313591.9591,4465.2501969227005,511988.9678659828,260122.7222854137
339,983006,深港通综指(港币),0,5835.5867,-0.0344,,313591.9591,5522.433947406899,633205.3722918642,321708.2691265424
340,983007,深港通100,100,5869.076,-0.0423,,52232.45374,1593.5923163459,250865.8149810554,91192.3478314308
341,983008,深港通100(港币),100,6462.1588,-0.0423,,52232.45374,1970.8856927579002,310259.497323479,112782.59780654039
342,983009,深港通手机产业链,50,2970.7884,-0.045,,19284.22781,398.3599453893,30145.05235257,15497.6348019908
343,983010,深港通手机产业链(港币),50,2994.5752,-0.045,,19284.22781,492.6750830821,37282.134715567205,19166.8258864525
344,983011,深港通绿色优选,100,1642.9222,-0.0389,,46913.58542,936.0143331685001,151114.7189412043,79403.7272482096
345,983012,深港通绿色优选(港币),100,1652.3639,-0.0389,,46913.58542,1157.622048291,186891.9118499473,98202.956650087
346,983013,深港通能源,0,4809.022,0.0044,,15505.95802,133.79621546479999,9991.499224295,5175.302525404501
347,983014,深港通能源（港币）,0,5293.1163,0.0044,,15505.95802,165.47332339,12357.0226585517,6400.5726186302
348,983015,深港通材料,0,6761.7073,-0.0176,,57993.55222,784.7761611213,49410.5836302133,24492.049129428502
349,983016,深港通材料（港币）,0,7441.5637,-0.0176,,57993.55222,970.5793049097,61108.9745094379,30290.7546107548
350,983017,深港通工业,0,5007.03,-0.0336,,39795.97178,672.169678041,69048.9306756701,32926.831245788395
351,983018,深港通工业（港币）,0,5508.9454,-0.0336,,39795.97178,831.3121794314,85396.7982420854,40722.522577678596
352,983019,深港通可选消费,0,5191.2124,-0.0511,,36713.18763,518.7951844666001,59925.8763581872,31654.007638477997
353,983020,深港通可选消费（港币）,0,5712.5873,-0.0511,,36713.18763,641.6230930637,74113.6260876334,39148.2441958988
354,983021,深港通主要消费,0,7859.8573,-0.04,,14085.37886,334.3519916051,45580.604117284296,18289.8972647861
355,983022,深港通主要消费（港币）,0,8649.2277,-0.04,,14085.37886,413.5127633425,56372.1414696389,22620.1673062547
356,983023,深港通医药卫生,0,5835.4647,-0.0394,,22995.45858,406.5571691191,44562.402231347995,21399.3666228746
357,983024,深港通医药卫生（港币）,0,6421.6992,-0.0394,,22995.45858,502.8131044619,55112.866480934405,26465.8180691189
358,983025,深港通金融,0,4682.7694,-0.0408,,28580.54203,328.2854005958,73809.0846625198,43861.7692325884
359,983026,深港通金融（港币）,0,5153.8923,-0.0408,,28580.54203,406.00863725230005,91283.63661942599,54246.173406545
360,983027,深港通信息技术,0,6874.7799,-0.0382,,56419.96195,944.1727572677,91777.48849473981,53456.6147479583
361,983028,深港通信息技术（港币）,0,7564.8903,-0.0382,,56419.96195,1167.7134758319999,113506.3985083251,66112.802223415
362,983029,深港通电信业务,0,3297.4468,-0.0283,,12052.30254,127.2243771552,18210.9287885208,8201.5892236386
363,983030,深港通电信业务（港币）,0,3628.0597,-0.0283,,12052.30254,157.3456085169,22522.4290098125,10143.349392095699
364,983031,深港通公用事业,0,4706.0545,-0.011,,11359.30585,88.8448706849,17563.9284745673,7537.102060371601
365,983032,深港通公用事业（港币）,0,5179.6579,-0.011,,11359.30585,109.8794545497,21722.2625036197,9321.5332031235
366,983033,深港通通信服务,0,3574.0415,-0.0384,,9684.37662,108.03839747290002,7742.593372226,5091.0990108875
367,983034,深港通通信服务（港币）,0,3931.173,-0.0385,,9684.37662,133.617316294,9575.7007321585,6296.4460481856
368,983035,深港通医疗,0,6797.2455,-0.0401,,3699.94751,80.2719350943,13020.1433796574,5608.6351937073
369,983036,深港通医疗（港币）,0,7478.7223,-0.0401,,3699.94751,99.277011918,16102.7633354632,6936.5235282879
370,983037,深港通食品零售,0,2421.7306,-0.0296,,470.57792,3.5695289758,687.0254393166999,209.2409425828
371,983038,深港通食品零售（港币）,0,2664.5956,-0.0296,,470.57792,4.4146491525,849.6838311589,258.7804551344
